id,name,district,submarket,submarketSource,address,propertyType,publicBuildingType,buildingForm,buildingFormStatus,buildingFormSource,builtYear,builtYearSource,unitPrice,unitPriceSource,priceType,sellCount,source,sourceName,detailStatus
"gotohui-69206","奥体清荷园","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","27578","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/69206","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625889","宝色钛业家属楼","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","38399","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625889","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625875","保利二十四院别墅","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2016","聚汇数据小区详情页建筑年代","49588","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625875","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251059","保利天悦","建邺","","","","小区","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","","","暂无公开均价","0","https://m.gotohui.com/xiaoqu/251059","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-715523","保利天悦项目","建邺","","","建邺河西","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","66136","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/715523","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-69691","保利香槟国际","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2013","聚汇数据小区详情页建筑年代","46938","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/69691","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-71328","保利紫荆公馆","建邺","江心洲","公开地址归并板块","建邺江心洲","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2015","聚汇数据小区详情页建筑年代","48855","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/71328","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625892","保利紫荆公馆别墅","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2016","聚汇数据小区详情页建筑年代","51270","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625892","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-251119","北辰旭辉铂悦金陵","建邺","","","建邺河西","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","56543","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/251119","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-70221","碧瑶花园二期","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","51134","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/70221","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-69929","碧瑶花园一期","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2012","聚汇数据小区详情页建筑年代","48243","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/69929","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-70633","滨江壹号","建邺","奥体","公开地址归并板块","建邺奥体","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2014","聚汇数据小区详情页建筑年代","52795","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/70633","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1626381","铂金时代公寓","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2010","聚汇数据小区详情页建筑年代","35633","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1626381","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-327907","铂悦公寓","建邺","沙洲","公开地址归并板块","南京建邺区莲池路","住宅","高层","高层","公开详情页明确提供住宅形态字段","聚汇数据小区详情页建筑类型","2016","聚汇数据小区详情页建筑年代","14197","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/327907","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1486460","茶西里","建邺","水西门","公开地址归并板块","建邺水西门","住宅","板塔结合","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","33915","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1486460","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1762350","宸光府","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","31537","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1762350","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-71990","丹桂园","建邺","兴隆","公开地址归并板块","建邺兴隆大街","住宅","板楼","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2015","聚汇数据小区详情页建筑年代","55246","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/71990","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-835774","德基世贸壹号","建邺","奥体","公开地址归并板块","建邺庐山路208号","酒店式公寓","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","","","41937","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/835774","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
"gotohui-1625071","电建洺悦府-建邺","建邺","","","","普通住宅","","","公开源未提供洋房/小高层/高层等住宅形态，标记为待补充","","2017","聚汇数据小区详情页建筑年代","49884","聚汇数据小区详情页挂牌均价","聚汇数据小区详情页挂牌均价","0","https://m.gotohui.com/xiaoqu/1625071","聚汇数据建邺区小区房价列表 + 聚汇数据小区详情页","已抓取"
